gamma,acc_mean,acc_std,dp_mean,dp_std
0.0,0.5008849557522124,0.07521603313584344,0.05114942528735633,0.03516181792104814
0.1,0.5238938053097345,0.09321907314876951,0.04343185550082103,0.03619134785977288
0.2,0.5097345132743364,0.09784265459175398,0.1341543513957307,0.038797251756898986
0.30000000000000004,0.5256637168141592,0.13852879242017344,0.07372742200328407,0.056767091132242084
0.4,0.47787610619469023,0.07994045869476968,0.06403940886699507,0.04511791199133648
0.5,0.5646017699115043,0.08156968935789671,0.04934318555008209,0.031172099984788728
0.6000000000000001,0.5929203539823009,0.08414063238233425,0.08809523809523809,0.031595437690129916
0.7000000000000001,0.47433628318584076,0.101457774498878,0.06798029556650245,0.06451791670811048
0.8,0.5115044247787611,0.12113230890101716,0.06995073891625617,0.026147330769640306
0.9,0.5964601769911504,0.05297921963573723,0.04006568144499177,0.02727905871671144
1.0,0.5823008849557522,0.06863971479527547,0.07536945812807881,0.03419380063546874
