epsilon,acc,dp
0.01,0.651618398637138,0.08189100715914233
0.019000000000000003,0.6626916524701874,0.08275743784912276
0.028000000000000004,0.6626916524701874,0.049460476862160596
0.037000000000000005,0.6626916524701874,0.09096043694129269
0.046000000000000006,0.6609880749574105,0.0415709305110758
0.05500000000000001,0.6754684838160137,0.08535672991906412
0.064,0.6609880749574105,0.05513811141766395
0.073,0.6771720613287905,0.09166718415939956
0.082,0.67206132879046,0.11344327836081963
0.09100000000000001,0.6831345826235093,0.11083807208821628
0.1,0.6976149914821125,0.14989250936661846
